id_str,from_user,created_at,time,user_lang,,,,,,
9.40282554132943E+017,saditrk1,Mon Dec 11 18:10:05 +0000 2017,11/12/2017 18:10:05,tr,,,,,,
9.40282553386144E+017,p_assaluck,Mon Dec 11 18:10:04 +0000 2017,11/12/2017 18:10:04,en,,,,,,
9.40282530531545E+017,bjkchari,Mon Dec 11 18:09:59 +0000 2017,11/12/2017 18:09:59,tr,,,,,,
9.40282529147511E+017,Brs_Smk,Mon Dec 11 18:09:59 +0000 2017,11/12/2017 18:09:59,fr,,,,,,
9.40282528459624E+017,UgsKsl,Mon Dec 11 18:09:59 +0000 2017,11/12/2017 18:09:59,tr,,,,,,
9.40282526286746E+017,AbhishekYogi20,Mon Dec 11 18:09:58 +0000 2017,11/12/2017 18:09:58,en,,,,,,
9.40282522490901E+017,reloadefootball,Mon Dec 11 18:09:57 +0000 2017,11/12/2017 18:09:57,en,,,,,,
9.40282517206204E+017,_mafaldacosta,Mon Dec 11 18:09:56 +0000 2017,11/12/2017 18:09:56,pt,,,,,,
9.40282514781934E+017,CaminoVestuario,Mon Dec 11 18:09:55 +0000 2017,11/12/2017 18:09:55,es,,,,,,
9.4028251152699E+017,amsez12,Mon Dec 11 18:09:55 +0000 2017,11/12/2017 18:09:55,ar,,,,,,
9.4028250935033E+017,a_bayernmunich,Mon Dec 11 18:09:54 +0000 2017,11/12/2017 18:09:54,de,,,,,,
9.40282505520874E+017,Nunoo1904,Mon Dec 11 18:09:53 +0000 2017,11/12/2017 18:09:53,pt,,,,,,
9.40282504904405E+017,chakon68,Mon Dec 11 18:09:53 +0000 2017,11/12/2017 18:09:53,es,,,,,,
9.4028250338603E+017,Alexis_Niuuuuu,Mon Dec 11 18:09:53 +0000 2017,11/12/2017 18:09:53,es,,,,,,
9.40282498986205E+017,AlirizaEmin,Mon Dec 11 18:09:52 +0000 2017,11/12/2017 18:09:52,tr,,,,,,
9.40282498365428E+017,sammytuga_,Mon Dec 11 18:09:51 +0000 2017,11/12/2017 18:09:51,en,,,,,,
9.40282491985912E+017,CmlYagci,Mon Dec 11 18:09:50 +0000 2017,11/12/2017 18:09:50,tr,,,,,,
9.40282488861184E+017,_WhatsTheMorata,Mon Dec 11 18:09:49 +0000 2017,11/12/2017 18:09:49,en,,,,,,
9.40282476831957E+017,patriciasofia01,Mon Dec 11 18:09:46 +0000 2017,11/12/2017 18:09:46,pt,,,,,,
9.4028247054889E+017,zeydburak,Mon Dec 11 18:09:45 +0000 2017,11/12/2017 18:09:45,tr,,,,,,
9.40282470355886E+017,sucosta1595,Mon Dec 11 18:09:45 +0000 2017,11/12/2017 18:09:45,pt,,,,,,
9.40282464395825E+017,DanZaddy,Mon Dec 11 18:09:43 +0000 2017,11/12/2017 18:09:43,en,,,,,,
9.40282464278405E+017,omer_coban27,Mon Dec 11 18:09:43 +0000 2017,11/12/2017 18:09:43,tr,,,,,,
9.40282452668506E+017,fabiansudaca,Mon Dec 11 18:09:40 +0000 2017,11/12/2017 18:09:40,es,,,,,,
9.40282443684352E+017,out353,Mon Dec 11 18:09:38 +0000 2017,11/12/2017 18:09:38,tr,,,,,,
9.4028243646176E+017,Yannio57,Mon Dec 11 18:09:37 +0000 2017,11/12/2017 18:09:37,fr,,,,,,
9.40282433773146E+017,MeridianoTV,Mon Dec 11 18:09:36 +0000 2017,11/12/2017 18:09:36,es,,,,,,
9.40282433068552E+017,_yasmiineee_,Mon Dec 11 18:09:36 +0000 2017,11/12/2017 18:09:36,fr,,,,,,
9.40282428278571E+017,wehavesino,Mon Dec 11 18:09:35 +0000 2017,11/12/2017 18:09:35,tr,,,,,,
9.40282424587583E+017,bruno7pereira,Mon Dec 11 18:09:34 +0000 2017,11/12/2017 18:09:34,pt,,,,,,
9.40282421756473E+017,cobisfc,Mon Dec 11 18:09:33 +0000 2017,11/12/2017 18:09:33,es,,,,,,
9.40282414047298E+017,kzldeli,Mon Dec 11 18:09:31 +0000 2017,11/12/2017 18:09:31,tr,,,,,,
9.40282408628351E+017,cubi_1903,Mon Dec 11 18:09:30 +0000 2017,11/12/2017 18:09:30,tr,,,,,,
9.4028240746641E+017,FootySeb,Mon Dec 11 18:09:30 +0000 2017,11/12/2017 18:09:30,en,,,,,,
9.40282402928243E+017,EnCore_Bz,Mon Dec 11 18:09:29 +0000 2017,11/12/2017 18:09:29,en,,,,,,
9.40282400625562E+017,aguapasoporaqui,Mon Dec 11 18:09:28 +0000 2017,11/12/2017 18:09:28,en,,,,,,
9.40282399325409E+017,ilkaykaanzeka,Mon Dec 11 18:09:28 +0000 2017,11/12/2017 18:09:28,tr,,,,,,
9.40282396573864E+017,juanragarcia17,Mon Dec 11 18:09:27 +0000 2017,11/12/2017 18:09:27,es,,,,,,
9.4028239600769E+017,juanmaciga_96,Mon Dec 11 18:09:27 +0000 2017,11/12/2017 18:09:27,es,,,,,,
9.40282394610995E+017,PatyRoaP0806,Mon Dec 11 18:09:27 +0000 2017,11/12/2017 18:09:27,es,,,,,,
9.40282383772848E+017,EzeAguilarrr,Mon Dec 11 18:09:24 +0000 2017,11/12/2017 18:09:24,es,,,,,,
9.40282383277883E+017,bibilukas2000,Mon Dec 11 18:09:24 +0000 2017,11/12/2017 18:09:24,de,,,,,,
9.4028238087039E+017,democan_demek,Mon Dec 11 18:09:23 +0000 2017,11/12/2017 18:09:23,tr,,,,,,
9.40282375501644E+017,santanalokoloko,Mon Dec 11 18:09:22 +0000 2017,11/12/2017 18:09:22,pt,,,,,,
9.40282370334315E+017,alanvilla04,Mon Dec 11 18:09:21 +0000 2017,11/12/2017 18:09:21,es,,,,,,
9.40282365326357E+017,Lofton__,Mon Dec 11 18:09:20 +0000 2017,11/12/2017 18:09:20,en,,,,,,
9.40282363384336E+017,HarryRayC,Mon Dec 11 18:09:19 +0000 2017,11/12/2017 18:09:19,es,,,,,,
9.40282358787342E+017,AbdulKadirInce9,Mon Dec 11 18:09:18 +0000 2017,11/12/2017 18:09:18,tr,,,,,,
9.40282353662022E+017,matfcbpl,Mon Dec 11 18:09:17 +0000 2017,11/12/2017 18:09:17,pl,,,,,,
9.40282352516731E+017,goroprianggoro,Mon Dec 11 18:09:17 +0000 2017,11/12/2017 18:09:17,en,,,,,,
9.40282350444929E+017,Klarchyyyy,Mon Dec 11 18:09:16 +0000 2017,11/12/2017 18:09:16,en-gb,,,,,,
9.40282348045832E+017,LucaErma,Mon Dec 11 18:09:16 +0000 2017,11/12/2017 18:09:16,it,,,,,,
9.40282345457775E+017,AD4MRUIZ,Mon Dec 11 18:09:15 +0000 2017,11/12/2017 18:09:15,en,,,,,,
9.40282342211576E+017,Talamantes77,Mon Dec 11 18:09:14 +0000 2017,11/12/2017 18:09:14,es,,,,,,
9.40282342156927E+017,fabiansudaca,Mon Dec 11 18:09:14 +0000 2017,11/12/2017 18:09:14,es,,,,,,
9.40282336779952E+017,yusufsen80,Mon Dec 11 18:09:13 +0000 2017,11/12/2017 18:09:13,tr,,,,,,
9.40282332254175E+017,navalforcess,Mon Dec 11 18:09:12 +0000 2017,11/12/2017 18:09:12,tr,,,,,,
9.40282332023583E+017,xsekercs,Mon Dec 11 18:09:12 +0000 2017,11/12/2017 18:09:12,tr,,,,,,
9.40282328500159E+017,andrifahrezii,Mon Dec 11 18:09:11 +0000 2017,11/12/2017 18:09:11,id,,,,,,
9.40282323978936E+017,Kaan1999Memo,Mon Dec 11 18:09:10 +0000 2017,11/12/2017 18:09:10,tr,,,,,,
9.40282320476623E+017,AsamwaInjika,Mon Dec 11 18:09:09 +0000 2017,11/12/2017 18:09:09,en,,,,,,
9.40282308711641E+017,esikyire,Mon Dec 11 18:09:06 +0000 2017,11/12/2017 18:09:06,en,,,,,,
9.40282300054557E+017,0nurc0zcann,Mon Dec 11 18:09:04 +0000 2017,11/12/2017 18:09:04,tr,,,,,,
9.40282297651224E+017,kwessi__,Mon Dec 11 18:09:04 +0000 2017,11/12/2017 18:09:04,en,,,,,,
9.40282291263287E+017,YeilSe,Mon Dec 11 18:09:02 +0000 2017,11/12/2017 18:09:02,tr,,,,,,
9.40282289988219E+017,PtYoungers,Mon Dec 11 18:09:02 +0000 2017,11/12/2017 18:09:02,en,,,,,,
9.40282286628581E+017,tufanaytug,Mon Dec 11 18:09:01 +0000 2017,11/12/2017 18:09:01,en,,,,,,
9.40282277187215E+017,chris_d1995,Mon Dec 11 18:08:59 +0000 2017,11/12/2017 18:08:59,es,,,,,,
9.40282276964913E+017,manuea05,Mon Dec 11 18:08:59 +0000 2017,11/12/2017 18:08:59,it,,,,,,
9.40282275274428E+017,JonathanAon,Mon Dec 11 18:08:58 +0000 2017,11/12/2017 18:08:58,th,,,,,,
